,Requirment
2787,63
2788,65
2789,87
2790,116
2791,119
2792,120
2793,13
2794,31
2795,43
2796,84
2797,80
2798,94
2799,16
2800,17
2801,35
2802,43
2803,63
2804,80
2805,15
2806,46
2807,97
2808,98
2809,102
2810,108
2811,16
2812,13
2813,24
2814,33
2815,35
2816,46
2817,16
2818,260
2819,269
2820,100
2821,157
2822,161
2823,238
2824,249
2825,24
2826,31
2827,35
2828,63
2829,85
2830,89
2831,16
2832,22
2833,13
2834,24
2835,15
2836,31
2837,16
2838,13
2839,24
2840,31
2841,98
2842,112
2843,16
2844,13
2845,31
2846,46
2847,63
2848,87
2849,24
2850,35
2851,63
2852,84
2853,97
2854,119
2855,43
2856,120
2857,232
2858,256
2859,35
2860,119
2861,123
2862,256
2863,258
2864,15
2865,35
2866,43
2867,84
2868,80
2869,87
2870,24
2871,15
2872,31
2873,63
2874,81
2875,119
2876,41
2877,73
2878,84
2879,119
2880,123
2881,192
2882,24
2883,15
2884,31
2885,35
2886,52
2887,65
2888,24
2889,63
2890,97
2891,119
2892,189
2893,184
2894,88
2895,189
2896,186
2897,202
2898,261
2899,266
2900,20
2901,22
2902,119
2903,161
2904,245
2905,266
2906,16
2907,24
2908,15
2909,36
2910,95
2911,90
2912,15
2913,33
2914,114
2915,206
2916,238
2917,256
2918,31
2919,33
2920,84
2921,94
2922,81
2923,119
2924,16
2925,15
2926,189
2927,192
2928,184
2929,230
2930,4
2931,63
2932,94
2933,119
2934,136
2935,189
2936,16
2937,24
2938,15
2939,31
2940,63
2941,65
2942,35
2943,43
2944,63
2945,75
2946,137
2947,161
2948,16
2949,15
2950,35
2951,63
2952,64
2953,84
2954,24
2955,119
2956,192
2957,216
2958,279
2959,27
2960,35
2961,57
2962,63
2963,97
2964,113
2965,15
2966,31
2967,35
2968,63
2969,84
2970,81
2971,24
2972,35
2973,63
2974,84
2975,97
2976,119
2977,80
2978,86
2979,119
2980,120
2981,157
2982,266
2983,35
2984,116
2985,123
2986,189
2987,192
2988,183
2989,53
2990,85
2991,107
2992,119
